reaction	GPR	score	normalized_score
R_1P2CBXLCYCL	spontaneous	0.0	0.0
R_3HAD80	WP_014949559.1	356.0	0.6
R_5DOAN	WP_014950548.1	455.0	0.8
R_AADSACYCL	spontaneous	0.0	0.0
R_AALDCDLsi	spontaneous	0.0	0.0
R_ACALDt	spontaneous	0.0	0.0
R_ACALDtpp	spontaneous	0.0	0.0
R_ACCOAC	((WP_014948567.1 and WP_014999996.1) or WP_014948567.1 or WP_014949945.1 or WP_039221534.1)	377.25	0.7
R_ACGAptspp	WP_061485436.1	69.25	0.1
R_ACGK	WP_039231060.1	527.0	0.9
R_ACGS	WP_014975490.1	847.0	1.5
R_ACHBS	WP_039225051.1	569.0	1.0
R_ACKr	WP_014948987.1	733.0	1.3
R_ACLS	WP_039225051.1	569.0	1.0
R_ACMUMptspp	WP_061485436.1	69.25	0.1
R_ACOAD1f	WP_014976690.1	1620.0	2.8
R_ACOAD2	WP_014976690.1	1620.0	2.8
R_ACOAD2f	WP_014976690.1	1620.0	2.8
R_ACOAD3	WP_014976690.1	1620.0	2.8
R_ACOAD3f	WP_014976690.1	1620.0	2.8
R_ACOAD4	WP_014976690.1	1620.0	2.8
R_ACOAD4f	WP_014976690.1	1620.0	2.8
R_ACOAD5	WP_014976690.1	1620.0	2.8
R_ACOAD5f	WP_014976690.1	1620.0	2.8
R_ACOAD6	WP_014976690.1	1620.0	2.8
R_ACOAD6f	WP_014976690.1	1620.0	2.8
R_ACOAD7	WP_014976690.1	1620.0	2.8
R_ACOAD7f	WP_014976690.1	1620.0	2.8
R_ACOAD8f	WP_014976690.1	1620.0	2.8
R_ACOTA	WP_014978113.1	806.0	1.4
R_ACS	WP_014977484.1	1313.0	2.3
R_ADA	WP_061486346.1	570.0	1.0
R_ADCL	WP_014949216.1	466.0	0.8
R_AGM3PA	WP_061486394.1	361.0	0.6
R_AGM4PA	WP_061486394.1	361.0	0.6
R_AGPR	WP_061486910.1	652.0	1.1
R_AHCYSNS	WP_014950548.1	455.0	0.8
R_AHCi	WP_061486512.1	734.0	1.3
R_AICART	WP_061487019.1	1041.0	1.8
R_AIRC2	WP_061439282.1	729.0	1.3
R_AIRC3	WP_014948098.1	298.0	0.5
R_AKGDH	WP_014950394.1	307.0	0.5
R_ALAALAabcpp	WP_014948676.1	103.2	0.2
R_ALLTAMH	WP_061485543.1	820.0	1.4
R_AM3PA	WP_061486394.1	361.0	0.6
R_AM4PA	WP_061486394.1	361.0	0.6
R_AMMQLT8	WP_061486661.1	525.0	0.9
R_AMMQT8_2	WP_061486661.1	525.0	0.9
R_AMPTASECG	WP_061486181.1	733.0	1.3
R_ANPRT	WP_014948943.1	654.0	1.1
R_ANS	WP_014948943.1	327.0	0.6
R_AOBUTDs	spontaneous	0.0	0.0
R_AOXHEXCYCL	spontaneous	0.0	0.0
R_AP4AH	WP_061439572.1	511.0	0.9
R_APRAUR	WP_061486145.1	736.0	1.3
R_ARGDC	WP_014951242.1	1268.0	2.2
R_ARGDCpp	WP_014951242.1	1268.0	2.2
R_ARGt3pp	WP_014975330.1	385.0	0.7
R_ASNN	WP_061485799.1	659.0	1.1
R_ASNS1	WP_014948790.1	1141.0	2.0
R_ASPK	WP_014948303.1	856.0	1.5
R_ASPO3	WP_061486150.1	1104.0	1.9
R_ASPO4	WP_061486150.1	1104.0	1.9
R_ASPO5	WP_061486150.1	1104.0	1.9
R_ASPO6	WP_061486150.1	1104.0	1.9
R_ATPHs	spontaneous	0.0	0.0
R_ATPS4rpp	((WP_012520217.1 and WP_014951452.1 and WP_039221268.1) or (WP_014951448.1 and WP_014951450.1 and WP_014951452.1 and WP_039221268.1) or (WP_014951451.1 and WP_014951452.1 and WP_039221268.1) or WP_012520217.1 or WP_014951452.1 or WP_039221268.1)	290.875	0.5
R_BPNT	WP_014975999.1	515.0	0.9
R_BZt	spontaneous	0.0	0.0
R_CBMD	spontaneous	0.0	0.0
R_CBPS	WP_061485378.1	2067.0	3.6
R_CGLYabcpp	WP_014948676.1	103.2	0.2
R_CHORS	WP_014948759.1	724.0	1.3
R_CMCBTFexs	spontaneous	0.0	0.0
R_CO2t	spontaneous	0.0	0.0
R_CO2tex	spontaneous	0.0	0.0
R_CO2tpp	spontaneous	0.0	0.0
R_COt_1	spontaneous	0.0	0.0
R_CPGNexs	spontaneous	0.0	0.0
R_CS	WP_014949444.1	862.0	1.5
R_CTPS2	WP_014978516.1	1061.0	1.8
R_CYANSTpp	WP_014950551.1	255.0	0.4
R_CYSDSF	WP_061486181.1	733.0	1.3
R_CYSS	WP_061485961.1	614.0	1.1
R_CYTBD2pp	(WP_061486755.1 and WP_061486756.1)	879.0	1.5
R_CYTBDpp	(WP_061486755.1 and WP_061486756.1)	879.0	1.5
R_CYTBO3_4pp	(WP_012520077.1 or WP_061486797.1)	103.5	0.2
R_CYTK1	WP_014976668.1	431.0	0.7
R_CYTK2	WP_014976668.1	431.0	0.7
R_Cotpp	spontaneous	0.0	0.0
R_DADA	WP_061486346.1	570.0	1.0
R_DASYN120	WP_014948557.1	572.0	1.0
R_DASYN140	WP_014948557.1	572.0	1.0
R_DASYN141	WP_014948557.1	572.0	1.0
R_DASYN160	WP_014948557.1	572.0	1.0
R_DASYN161	WP_014948557.1	572.0	1.0
R_DASYN180	WP_014948557.1	572.0	1.0
R_DASYN181	WP_014948557.1	572.0	1.0
R_DATPHs	spontaneous	0.0	0.0
R_DBTS	WP_061485299.1	474.0	0.8
R_DGK1	WP_061438956.1	410.0	0.7
R_DHBSZ3FEexs	spontaneous	0.0	0.0
R_DHDPRy	WP_014976121.1	512.0	0.9
R_DHDPS	WP_061485944.1	566.0	1.0
R_DHFS	WP_061486084.1	844.0	1.5
R_DHGLYH	spontaneous	0.0	0.0
R_DHNCOAT	WP_014948865.1	261.0	0.5
R_DHNPA2r	WP_014948271.1	211.0	0.4
R_DHORD2	WP_061485906.1	657.0	1.1
R_DHORD5	WP_061485906.1	657.0	1.1
R_DHORTS	WP_014951053.1	697.0	1.2
R_DHPPDA2	WP_061486145.1	736.0	1.3
R_DHPS2	WP_061485809.1	488.0	0.8
R_DHPTDCs	spontaneous	0.0	0.0
R_DHPTDCs2	spontaneous	0.0	0.0
R_DMATT	WP_061486143.1	558.0	1.0
R_DMPPS	WP_014977011.1	615.0	1.1
R_DNTPPA	(WP_061485244.1 or WP_061486402.1)	298.0	0.5
R_DURIK1	WP_014950261.1	376.0	0.7
R_E4PD	WP_014948384.1	664.0	1.2
R_EDA	WP_014949849.1	419.0	0.7
R_EDD	WP_014949851.1	1202.0	2.1
R_ETOHtrpp	spontaneous	0.0	0.0
R_FA120ACPHi	WP_061486081.1	358.0	0.6
R_FA141ACPHi	WP_061486081.1	358.0	0.6
R_FA161ACPHi	WP_061486081.1	358.0	0.6
R_FA80ACPHi	WP_061486081.1	358.0	0.6
R_FACOAE100	WP_014949536.1	563.0	1.0
R_FACOAE120	WP_014949536.1	563.0	1.0
R_FACOAE140	WP_014949536.1	563.0	1.0
R_FACOAE141	WP_014949536.1	563.0	1.0
R_FACOAE160	WP_014949536.1	563.0	1.0
R_FACOAE161	WP_014949536.1	563.0	1.0
R_FACOAE180	WP_014949536.1	563.0	1.0
R_FACOAE181	WP_014949536.1	563.0	1.0
R_FACOAE60	WP_014949536.1	563.0	1.0
R_FACOAE80	WP_014949536.1	563.0	1.0
R_FADRx2	WP_039227383.1	572.5	1.0
R_FALDtpp	spontaneous	0.0	0.0
R_FALGTHLs	spontaneous	0.0	0.0
R_FE3DCITCH	spontaneous	0.0	0.0
R_FE3DCITexs	spontaneous	0.0	0.0
R_FE3HOXexs	spontaneous	0.0	0.0
R_FE3PYOVDL2	spontaneous	0.0	0.0
R_FE3Ri	WP_014977536.1	463.0	0.8
R_FEENTERexs	spontaneous	0.0	0.0
R_FEENTERtonex	WP_061486703.1	372.0	0.6
R_FEOXAMexs	spontaneous	0.0	0.0
R_FESD1s	spontaneous	0.0	0.0
R_FESD2s	spontaneous	0.0	0.0
R_FLDR	WP_014950744.1	183.5	0.3
R_FLVR	(WP_014977536.1 or WP_039227383.1)	572.5	1.0
R_FLVRx	WP_014977536.1	463.0	0.8
R_FMNRx	WP_014977536.1	463.0	0.8
R_FMNRx2	(WP_014977536.1 or WP_039227383.1)	572.5	1.0
R_FUM	WP_014949528.1	1002.0	1.7
R_G1PACT	WP_061486778.1	733.0	1.3
R_G3PD5	WP_061439048.1	924.0	1.6
R_G5SADs	spontaneous	0.0	0.0
R_G6PDH2r	WP_014949853.1	1009.0	1.7
R_GAPD	WP_014976817.1	648.0	1.1
R_GF6PTA	WP_014951234.1	1170.0	2.0
R_GK1	WP_061438956.1	410.0	0.7
R_GLCNt2rpp	WP_014977458.1	800.0	1.4
R_GLCptspp	WP_061485436.1	69.25	0.1
R_GLUDxi	WP_061485812.1	842.0	1.5
R_GLUDy	WP_061485812.1	842.0	1.5
R_GLUN	WP_014950204.1	595.0	1.0
R_GLUPRT	WP_014949941.1	988.0	1.7
R_GLUSy	(WP_014950543.1 or WP_014977264.1)	1459.5	2.5
R_GLYCL	(WP_014950360.1 and WP_014950394.1)	295.5	0.5
R_GLYCtpp	spontaneous	0.0	0.0
R_GMPS2	WP_014950157.1	1063.0	1.8
R_GNK	WP_014977459.1	284.0	0.5
R_GRTT	WP_061486143.1	558.0	1.0
R_GRXR	WP_014948765.1	238.0	0.4
R_GTPHs	spontaneous	0.0	0.0
R_GUI1	WP_039225321.1	969.0	1.7
R_GUI2	WP_039225321.1	969.0	1.7
R_H2CO3D2	spontaneous	0.0	0.0
R_H2O2tex	spontaneous	0.0	0.0
R_H2Ot	spontaneous	0.0	0.0
R_H2Otex	spontaneous	0.0	0.0
R_H2Otpp	spontaneous	0.0	0.0
R_H2SO	spontaneous	0.0	0.0
R_H2St1	spontaneous	0.0	0.0
R_H2St1pp	spontaneous	0.0	0.0
R_H2tpp	spontaneous	0.0	0.0
R_HCO3E	spontaneous	0.0	0.0
R_HMBS	WP_014947801.1	596.0	1.0
R_HMPK1	WP_014979262.1	474.0	0.8
R_HSST	WP_039224879.1	629.0	1.1
R_HSTPT	WP_061486115.1	687.0	1.2
R_IG3PS	((WP_014950033.1 and WP_061486117.1) or WP_061486117.1)	472.0	0.8
R_IGPS	WP_061485332.1	877.0	1.5
R_IMPC	WP_061487019.1	1041.0	1.8
R_IPDPS	WP_014977011.1	615.0	1.1
R_IPMD	WP_061484939.1	694.0	1.2
R_IPPMIa	WP_061094370.1	462.5	0.8
R_IPPMIb	WP_061094370.1	462.5	0.8
R_Kt2pp	WP_014947725.1	466.5	0.8
R_LDH_D	(WP_061485871.1 or WP_061486132.1)	1043.0	1.8
R_LDH_D2	WP_061486132.1	1043.0	1.8
R_LYSt3pp	WP_014975330.1	385.0	0.7
R_MALTptspp	WP_061485436.1	69.25	0.1
R_MCBTFUexs	spontaneous	0.0	0.0
R_MCOATA	WP_014949213.1	297.0	0.5
R_MCTP1App	(WP_014975459.1 or WP_039229453.1 or WP_061486407.1)	1541.0	2.7
R_MCTP1Bpp	WP_014975459.1	1541.0	2.7
R_MCTP2App	(WP_014975459.1 or WP_039229453.1 or WP_061486407.1)	1541.0	2.7
R_MDDCP1pp	WP_014949348.1	766.0	1.3
R_MDDCP2pp	WP_014949348.1	766.0	1.3
R_MDDCP3pp	WP_014949348.1	766.0	1.3
R_MDDCP4pp	WP_014949348.1	766.0	1.3
R_MDDCP5pp	WP_014949348.1	766.0	1.3
R_ME1	WP_014978126.1	1106.0	1.9
R_MECDPDH2	WP_014950167.1	709.0	1.2
R_MECDPS	WP_014948162.1	308.0	0.5
R_MEOHtex	spontaneous	0.0	0.0
R_MEOHtrpp	spontaneous	0.0	0.0
R_MEPCT	WP_061439395.1	425.0	0.7
R_METAT	WP_014948382.1	732.0	1.3
R_METOX1s	spontaneous	0.0	0.0
R_METOX2s	spontaneous	0.0	0.0
R_METSOXR1	WP_012517074.1	111.0	0.2
R_METSOXR2	((WP_012517074.1 and WP_014949842.1) or WP_012517074.1 or WP_014949842.1)	259.5	0.4
R_MGSA	(WP_014948054.1 or spontaneous)	280.0	0.5
R_MI1PP	WP_014950183.1	516.0	0.9
R_MLTGY1pp	WP_061439378.1	1312.0	2.3
R_MLTGY2pp	WP_061439378.1	1312.0	2.3
R_MLTGY3pp	WP_061439378.1	1312.0	2.3
R_MLTGY4pp	WP_061439378.1	1312.0	2.3
R_MOHMT	WP_014977593.1	509.0	0.9
R_MPTG	WP_014975459.1	1541.0	2.7
R_MPTG2	WP_014975459.1	1541.0	2.7
R_MTAN	WP_014950548.1	455.0	0.8
R_MTHFC	WP_061486168.1	561.0	1.0
R_MTHFD	WP_061486168.1	561.0	1.0
R_MTHFR2	WP_014950980.1	592.0	1.0
R_MTHTHFSs	spontaneous	0.0	0.0
R_N2Otpp	spontaneous	0.0	0.0
R_NADDP	(WP_061485847.1 or WP_080760052.1)	1226.0	2.1
R_NADHHR	spontaneous	0.0	0.0
R_NADHHS	spontaneous	0.0	0.0
R_NADPHHR	spontaneous	0.0	0.0
R_NADPHHS	spontaneous	0.0	0.0
R_NADS1	WP_061486990.1	518.0	0.9
R_NH3c	spontaneous	0.0	0.0
R_NH4tex	spontaneous	0.0	0.0
R_NH4tpp	spontaneous	0.0	0.0
R_NMNAT	WP_232376010.1	414.0	0.7
R_NNATr	WP_232376010.1	414.0	0.7
R_NOVBCNtex	spontaneous	0.0	0.0
R_NOtpp	spontaneous	0.0	0.0
R_NTD1	WP_012519109.1	391.0	0.7
R_NTD12	WP_012519109.1	391.0	0.7
R_NTD3	WP_012519109.1	391.0	0.7
R_NTD5	WP_012519109.1	391.0	0.7
R_NTD6	WP_012519109.1	391.0	0.7
R_NTD8	WP_012519109.1	391.0	0.7
R_NTPP1	(WP_061439577.1 or WP_061486402.1)	577.0	1.0
R_NTPP2	(WP_061439577.1 or WP_061486402.1)	577.0	1.0
R_NTPP3	WP_061439577.1	577.0	1.0
R_NTPP4	WP_061439577.1	577.0	1.0
R_NTPP5	(WP_061439577.1 or WP_061485244.1)	577.0	1.0
R_NTPP6	WP_061439577.1	577.0	1.0
R_NTPP7	WP_061439577.1	577.0	1.0
R_NTPP8	WP_061439577.1	577.0	1.0
R_O2tex	spontaneous	0.0	0.0
R_O2tpp	spontaneous	0.0	0.0
R_OCTDPS	WP_014948150.1	616.0	1.1
R_OHCUDC2	spontaneous	0.0	0.0
R_OMCDC	(WP_061484939.1 or spontaneous)	694.0	1.2
R_OMPDC	WP_039234640.1	442.0	0.8
R_OPHHX	WP_014950939.1	1068.0	1.9
R_PA120abcpp	WP_014976526.1	1078.0	1.9
R_PA140abcpp	WP_014976526.1	1078.0	1.9
R_PA141abcpp	WP_014976526.1	1078.0	1.9
R_PA160abcpp	WP_014976526.1	1078.0	1.9
R_PA161abcpp	WP_014976526.1	1078.0	1.9
R_PA180abcpp	WP_014976526.1	1078.0	1.9
R_PA181abcpp	WP_014976526.1	1078.0	1.9
R_PAPPT3	WP_014950432.1	685.0	1.2
R_PAPSR	((WP_012517074.1 and WP_049588677.1) or WP_012517074.1 or WP_049588677.1)	355.5	0.6
R_PAPSR2	(WP_014948765.1 or WP_049588677.1)	244.5	0.4
R_PDH	(WP_014950394.1 or WP_061486391.1)	345.0	0.6
R_PE120abcpp	WP_014976526.1	1078.0	1.9
R_PE140abcpp	WP_014976526.1	1078.0	1.9
R_PE141abcpp	WP_014976526.1	1078.0	1.9
R_PE160abcpp	WP_014976526.1	1078.0	1.9
R_PE161abcpp	WP_014976526.1	1078.0	1.9
R_PE180abcpp	WP_014976526.1	1078.0	1.9
R_PE181abcpp	WP_014976526.1	1078.0	1.9
R_PG120abcpp	WP_014976526.1	1078.0	1.9
R_PG140abcpp	WP_014976526.1	1078.0	1.9
R_PG141abcpp	WP_014976526.1	1078.0	1.9
R_PG160abcpp	WP_014976526.1	1078.0	1.9
R_PG161abcpp	WP_014976526.1	1078.0	1.9
R_PG180abcpp	WP_014976526.1	1078.0	1.9
R_PG181abcpp	WP_014976526.1	1078.0	1.9
R_PGCD	WP_014980012.1	788.0	1.4
R_PGK	WP_061484790.1	740.0	1.3
R_PGMT	(WP_014977981.1 or WP_061485424.1)	1089.0	1.9
R_PGP120abcpp	WP_014976526.1	1078.0	1.9
R_PGP140abcpp	WP_014976526.1	1078.0	1.9
R_PGP141abcpp	WP_014976526.1	1078.0	1.9
R_PGP160abcpp	WP_014976526.1	1078.0	1.9
R_PGP161abcpp	WP_014976526.1	1078.0	1.9
R_PGP180abcpp	WP_014976526.1	1078.0	1.9
R_PGP181abcpp	WP_014976526.1	1078.0	1.9
R_PGPP120	WP_014950085.1	320.0	0.6
R_PGPP120pp	WP_014950085.1	320.0	0.6
R_PGPP140	WP_014950085.1	320.0	0.6
R_PGPP140pp	WP_014950085.1	320.0	0.6
R_PGPP141	WP_014950085.1	320.0	0.6
R_PGPP141pp	WP_014950085.1	320.0	0.6
R_PGPP160	WP_014950085.1	320.0	0.6
R_PGPP160pp	WP_014950085.1	320.0	0.6
R_PGPP161	WP_014950085.1	320.0	0.6
R_PGPP161pp	WP_014950085.1	320.0	0.6
R_PGPP180	WP_014950085.1	320.0	0.6
R_PGPP180pp	WP_014950085.1	320.0	0.6
R_PGPP181	WP_014950085.1	320.0	0.6
R_PGPP181pp	WP_014950085.1	320.0	0.6
R_PGSA120	WP_014949608.1	372.0	0.6
R_PGSA140	WP_014949608.1	372.0	0.6
R_PGSA141	WP_014949608.1	372.0	0.6
R_PGSA160	WP_014949608.1	372.0	0.6
R_PGSA161	WP_014949608.1	372.0	0.6
R_PGSA180	WP_014949608.1	372.0	0.6
R_PGSA181	WP_014949608.1	372.0	0.6
R_PHEMEabcpp	((WP_015066378.1 and WP_061484955.1) or WP_014948512.1 or WP_061484955.1)	128.33333333333334	0.2
R_PPA	WP_014947861.1	354.0	0.6
R_PPK	WP_014948398.1	1342.0	2.3
R_PPK2	WP_014948398.1	1342.0	2.3
R_PPS	WP_014949316.1	1544.0	2.7
R_PRAGSr	WP_061486808.1	824.0	1.4
R_PRAIi	WP_061485332.1	877.0	1.5
R_PRASCSi	WP_014949658.1	466.0	0.8
R_PRMICI	WP_039222817.1	477.0	0.8
R_PROGLYabcpp	WP_014948676.1	103.2	0.2
R_PRPPS	WP_014949014.1	602.0	1.0
R_PSCVT	WP_014976669.1	827.0	1.4
R_PSP_L	WP_061486989.1	572.0	1.0
R_PTA2	WP_014948988.1	1337.0	2.3
R_PTAr	WP_014948988.1	1337.0	2.3
R_PTPATi	WP_061438900.1	317.0	0.5
R_PYK	WP_014949855.1	884.0	1.5
R_RNDR1	((WP_012517074.1 and WP_014949648.1) or WP_012517074.1 or WP_014949648.1)	581.6666666666666	1.0
R_RNDR1b	WP_014948765.1	79.33333333333333	0.1
R_RNDR2	((WP_012517074.1 and WP_014949648.1) or WP_012517074.1 or WP_014949648.1)	581.6666666666666	1.0
R_RNDR2b	WP_014948765.1	79.33333333333333	0.1
R_RNDR3	((WP_012517074.1 and WP_014949648.1) or WP_012517074.1 or WP_014949648.1)	581.6666666666666	1.0
R_RNDR3b	WP_014948765.1	79.33333333333333	0.1
R_RNDR4	((WP_012517074.1 and WP_014949648.1) or WP_012517074.1 or WP_014949648.1)	581.6666666666666	1.0
R_RNDR4b	WP_014948765.1	79.33333333333333	0.1
R_RNTR1c	WP_014950744.1	183.5	0.3
R_RNTR2c	WP_014950744.1	183.5	0.3
R_RNTR3c	WP_014950744.1	183.5	0.3
R_RNTR4c	WP_014950744.1	183.5	0.3
R_RPE	WP_014978117.1	446.0	0.8
R_SADT2	WP_014948797.1	305.5	0.5
R_SALCHS2FEexs	spontaneous	0.0	0.0
R_SALCHS4FEexs	spontaneous	0.0	0.0
R_SDPTA	WP_014978113.1	806.0	1.4
R_SERt4pp	WP_061486933.1	729.0	1.3
R_SPODM	WP_014948764.1	404.0	0.7
R_SUCDi	((WP_014949445.1 and WP_014949446.1) or WP_014949446.1 or WP_014949447.1)	295.75	0.5
R_SUCptspp	WP_061485436.1	69.25	0.1
R_SULR	WP_039227383.1	572.5	1.0
R_St	spontaneous	0.0	0.0
R_TCYNTtpp	spontaneous	0.0	0.0
R_THDPS	WP_014948549.1	500.0	0.9
R_THIORDXi	(WP_012517074.1 or WP_014949662.1)	156.0	0.3
R_THRD	WP_014947766.1	694.0	1.2
R_THRt4pp	WP_061486933.1	729.0	1.3
R_THZPSN	(WP_061438940.1 or WP_061486181.1)	144.8	0.3
R_TKT1	WP_061484788.1	1327.0	2.3
R_TKT2	WP_061484788.1	1327.0	2.3
R_TMDK1	WP_014950261.1	376.0	0.7
R_TNTHAC1	spontaneous	0.0	0.0
R_TNTHAC2	spontaneous	0.0	0.0
R_TRDR	(WP_012517074.1 or WP_014949336.1)	315.5	0.5
R_TREptspp	WP_061485436.1	69.25	0.1
R_TRPS1	WP_014976090.1	389.5	0.7
R_TRPS2	WP_014976090.1	389.5	0.7
R_TRPS3	WP_014976090.1	389.5	0.7
R_UAGDP	WP_061486778.1	733.0	1.3
R_UAGPT3	WP_061486403.1	702.0	1.2
R_UGLT	WP_014947878.1	728.0	1.3
R_UGMDDS	WP_061486405.1	875.0	1.5
R_UM3PL	WP_081106052.1	917.0	1.6
R_UM4PL	WP_081106052.1	917.0	1.6
R_UMPK	WP_014976668.1	431.0	0.7
R_UPP3MT	WP_061438952.1	595.0	1.0
R_UPPDC1	WP_061486734.1	725.0	1.3
R_UPPRT	WP_014950265.1	407.0	0.7
R_VALt2rpp	WP_061486427.1	219.5	0.4
R_ilvg	WP_039225051.1	569.0	1.0
